Sr No.,State,NH-No.,Toll Plaza Name,Toll Plaza Location,Section / Stretch,TollPlazaID
123,Bihar,722,Sonho,Sonho,ChhapraRewaghat Muzaffarpur Section of NH7 22,6849
124,Bihar,531 (Old NH85),Thawe (Brindavan),At 86.600 Km,Chhapra Siwan Gopalganj,5917
125,Bihar,82,Toda,128,Two lanintg with paved shoulder of BiharsharifBarbighaMokama section,5779
126,Chandigarh,21 (Old 3),Jia Bridge (MoRTH),Km 262.200,Jia Bridge,341
127,Chhattisgarh,Old43 (New NH30),Badayiguda,284.42,DahikongaJagdalpur Section from Km 241.000 to Km 298.000,4608
128,Chhattisgarh,NH 130,Bhojpuri,Village Bhojpuri,Bilaspur,5640
129,Chhattisgarh,6 (Old 53 ),Chhuhipali Toll Plaza,Km 123.206,Chhattisgarh/Orissa Border - Aurang Section,464
130,Chhattisgarh,130,Chotiya,Chotiya,Katghora Shiv0gar,5694
131,Chhattisgarh,6,Dhank,Km 182.636,Chhattisgarh/Orissa Border - Aurang Section,465
132,Chhattisgarh,6,Durg Bypass (Dhamdanaka),Km 312.780,Durg Bypass - Chhattisgarh/Maharashtra Border,7
133,Chhattisgarh,Old43 (New NH30),Jagtara,95,DhamtariKanker Section from 81.500 to 130.000,4606
134,Chhattisgarh,NH 49 (Old NH 200),Jhalmala Toll Plaza,Near village Jhalmala DisttRaigarh (C.G.),Masaniyakala to Rengapali villageOdisha Border,6685
135,Chhattisgarh,6 (Old 53),Kharun (MoRTH),Km 285.400,Raipur - Durg,367
136,Chhattisgarh,6 (Old 53),Kosa Nala (MoRTH),Km 307.600,Raipur - Durg Four lane (Km 281.000 to Km 307.600),368
137,Chhattisgarh,53,Kumhari,At Km 285.40 of Raipur Durg Section from Km 281.00 to 307.600 of NH6 (New NH53) in the State of Chattisgarh,RaipurDurg Km 281 to Km 307.60,5671
138,Chhattisgarh,NH130,Limha Toll Plaza,Limha,53.300,6692
139,Chhattisgarh,NH 43,Lodam Toll Plaza,at Km.593.350 VillageLodam DistrictJashpur (CG),Kunkuri to CGJH Border section,6686
140,Chhattisgarh,NH 130,Madanpur Toll Plaza,at Km.82.000 Village Madanpur District Korba (C.G.),BilaspurKatghora,6688
141,Chhattisgarh,NH 43,Maharajpur Toll Plaza,at Km.278.150 VillageMaharajpur Toll Plaza,MP CG Border to Surajpur section,6687
142,Chhattisgarh,53,Mandir Hasaud,Ch. 258.650,RaipurArang Km. 238.535 to Km. 282.000,5668
143,Chhattisgarh,30,Maroud Toll Plaza,45.500,RaipurDhamtari (Km. 10.200 to Km. 82.209),6837
144,Chhattisgarh,Old43 (New NH30),Mashora,216.4,BedmaDahikonga Section from Km.180.000 to Km.241.000,4607
145,Chhattisgarh,NH 30,Mudhiyapara Toll Plaza,Ch 225.942,M P Border Chilpi to Kwardha Section Pkg I,6698
146,Chhattisgarh,NH 49,Mudipar,at Km 110.300,Bilaspur,5639
147,Chhattisgarh,200(Old 130),Nandghat Bridge (MoRTH),Km 65.800,H.L. Bridge at Nandghat,366
148,Chhattisgarh,43,Pachira,Pachira,Surajpur Ambikapur,5695
149,Chhattisgarh,49 (Old NH 200),Paraghat,138.5,Section of NH200 (New NH49) from Km.127500 to Km. 160687 (Village ThekaDarrighat to Vilage Ba0ri section) Route Kolkata to Mumbai EC,5794
150,Chhattisgarh,3,Shirpur,Km 205.000,MP/Maharashtra Border - Dhule,147
151,Chhattisgarh,30,Tarpongi,Ch. 32.013,Raipur Simga,5997
152,Chhattisgarh,6,Thakurtola (End of Durg Bypass),Km 331.865,End of Durg Bypass Chhattisgarh Maharashtra Border,4
153,Delhi,2,Badarpur Elevated,Near Sarai Metro Station,km. 16.100 to km. 20.500,5768
154,Delhi,NE II,Chhajju Nagar(EPE),Km 132.085,From Km 114.00 to 136.000,5759
155,Delhi,na,Gadpuri,Palwal,KM. 20.500 to KM 179.5,5940
156,Delhi,248 A,Ghamroj (Sohna),KM.13.000,Km. 21.796,5583
157,Delhi,48,IGI Airport,Km 19.100,Km. 11.060 to 42.000,299
158,Delhi,NH 148 NA,Jita Kherli Kiranj Toll Plaza,Near Kiranj Village in District Nuh (Haryana) at Ch. 55880,6L Access Controlled Highway from Jn. with Sector 6265 dividing road on Faridabad Ballabhgarh Bypass to Jn. with KMP Expressway with NH148NA from km. 33.00 to km. 59.063,6702
159,Delhi,19,Karman,Km. 94.00,Delhi to Agra,5939
160,Delhi,NH 11(148B),Kathuwas,Km. 22.150,REWARI ATELI 0R0UL,5922
161,Delhi,48,Kherki Daula,Km 42.000,Km. 11.060 to 42.000,272
162,Delhi,NE 3,Rasoolpur Sikrod,Km 31.343,DME Pkg.IV Greenfield DelhiMeerut Expressway from Dasna to Meerut (Km. 27.740 to Km 59.777) in UP on EPC Mode,5926
163,Delhi,148 B,Sirohi Bahali,Sirohi Bahali Village,Paniyala Mor to 0r0ul,5873
164,Gujarat,NE-1,Ahmedabad,Km 2.600,Ahmedabad Vadodra Expressways 1 & 2,311
165,Gujarat,NE-1,Anand,Km 43.855,Ahmedabad Vadodra Expressways 1 & 2,311
166,Gujarat,NE 01,Anand Toll Plaza,Anand,Ahmedabad To Vadodara (NE01),6682
167,Gujarat,8A (Old 47),Bagodara (MoRTH),Km 61.400,N.H.8A Km 61.4 to Km 182.4,339
168,Gujarat,8A (Old 47 ),Bamanbore (MoRTH),Km 182.400,NH 8A Km 61.4 to Km 182.4,362
169,Gujarat,751,Bhadbhid,Km. 142.290,Adhelai Village to Nari Junction,5871
